stamp,module,elapsed_ms
1657065605.532280,1.2_update_frames_state_copy,0.008
1657065605.532280,1.2_update_frames_sigma_p,0.035
1657065605.532280,1.2_update_frames,0.092
1657065605.510227,2.1_gnss_araim,0.626
1657065605.532280,2.3_dynamic_al,0.000
1657065605.532280,2.3_state_machine,0.000
1657065605.532280,2.3_integrity_total,0.686
1657065605.532280,1.2_odom_insert_frame,3.850
1657065605.632250,1.1_pointcloud_extract,0.011
1657065605.632250,1.1_cloud_preprocess,1.353
1657065605.632250,1.1_ros_callback_total,1.450
1657065605.632250,1.2_imu_integration,0.076
1657065605.632250,1.2_pointcloud_deskew,0.047
1657065605.632250,1.2_covariance_estimation,0.541
1657065605.632250,1.2_create_factors,0.012
1657065605.632250,1.2_smoother_update,0.903
1657065605.632250,1.3_gnss_injection,0.235
1657065605.632250,1.2_update_frames_calculate_estimate,0.016
1657065605.632250,1.2_update_frames_state_copy,0.006
1657065605.632250,1.2_update_frames_sigma_p,0.029
1657065605.632250,1.2_update_frames,0.067
1657065605.610294,2.1_gnss_araim,0.626
1657065605.632250,2.3_dynamic_al,0.000
1657065605.632250,2.3_state_machine,0.000
1657065605.632250,2.3_integrity_total,0.672
1657065605.632250,1.2_odom_insert_frame,3.162
1657065605.732224,1.1_pointcloud_extract,0.012
1657065605.732224,1.1_cloud_preprocess,1.366
1657065605.732224,1.1_ros_callback_total,1.455
1657065605.732224,1.2_imu_integration,0.121
1657065605.732224,1.2_pointcloud_deskew,0.038
1657065605.732224,1.2_covariance_estimation,0.609
1657065605.732224,1.2_create_factors,0.015
1657065605.732224,1.2_smoother_update,1.124
1657065605.732224,1.3_gnss_injection,0.313
1657065605.732224,1.2_update_frames_calculate_estimate,0.021
1657065605.732224,1.2_update_frames_state_copy,0.008
1657065605.732224,1.2_update_frames_sigma_p,0.034
1657065605.732224,1.2_update_frames,0.088
1657065605.710218,2.1_gnss_araim,0.681
1657065605.732224,2.3_dynamic_al,0.000
1657065605.732224,2.3_state_machine,0.000
1657065605.732224,2.3_integrity_total,0.728
1657065605.732224,1.2_odom_insert_frame,3.749
1657065605.832411,1.1_pointcloud_extract,0.011
1657065605.832411,1.1_cloud_preprocess,1.343
1657065605.832411,1.1_ros_callback_total,1.423
1657065605.832411,1.2_imu_integration,0.114
1657065605.832411,1.2_pointcloud_deskew,0.047
1657065605.832411,1.2_covariance_estimation,0.605
1657065605.832411,1.2_create_factors,0.012
1657065605.832411,1.2_smoother_update,7.598
1657065605.832411,1.3_gnss_injection,0.310
1657065605.832411,1.2_update_frames_calculate_estimate,0.018
1657065605.832411,1.2_update_frames_state_copy,0.007
1657065605.832411,1.2_update_frames_sigma_p,0.020
1657065605.832411,1.2_update_frames,0.062
1657065605.810445,2.1_gnss_araim,0.720
1657065605.832411,2.3_dynamic_al,0.000
1657065605.832411,2.3_state_machine,0.000
1657065605.832411,2.3_integrity_total,0.788
1657065605.832411,1.2_odom_insert_frame,10.198
1657065605.932292,1.1_pointcloud_extract,0.012
1657065605.932292,1.1_cloud_preprocess,1.366
1657065605.932292,1.1_ros_callback_total,1.459
1657065605.932292,1.2_imu_integration,0.090
1657065605.932292,1.2_pointcloud_deskew,0.038
1657065605.932292,1.2_covariance_estimation,0.544
1657065605.932292,1.2_create_factors,0.016
1657065605.932292,1.2_smoother_update,7.143
1657065605.932292,1.3_gnss_injection,0.247
1657065605.932292,1.2_update_frames_calculate_estimate,0.020
1657065605.932292,1.2_update_frames_state_copy,0.007
1657065605.932292,1.2_update_frames_sigma_p,0.029
1657065605.932292,1.2_update_frames,0.073
1657065605.910228,2.1_gnss_araim,0.872
1657065605.932292,2.3_dynamic_al,0.000
1657065605.932292,2.3_state_machine,0.000
1657065605.932292,2.3_integrity_total,0.934
1657065605.932292,1.2_odom_insert_frame,9.676
1657065606.032297,1.1_pointcloud_extract,0.011
1657065606.032297,1.1_cloud_preprocess,1.387
1657065606.032297,1.1_ros_callback_total,1.482
1657065606.032297,1.2_imu_integration,0.090
1657065606.032297,1.2_pointcloud_deskew,0.037
1657065606.032297,1.2_covariance_estimation,0.593
1657065606.032297,1.2_create_factors,0.016
1657065606.032297,1.2_smoother_update,1.236
1657065606.032297,1.3_gnss_injection,0.342
1657065606.032297,1.2_update_frames_calculate_estimate,0.027
1657065606.032297,1.2_update_frames_state_copy,0.009
1657065606.032297,1.2_update_frames_sigma_p,0.033
1657065606.032297,1.2_update_frames,0.095
1657065606.010411,2.1_gnss_araim,0.602
1657065606.032297,2.3_dynamic_al,0.000
